"obs_month","obs_mean","sim_mean","obs_sd","sim_sd","obs_q_01","sim_q_01","obs_q_99","sim_q_99"
1,1.53,1.47,3.39,3.19,-10.10,-7.05,6.74,10.03
,,(0.25),,(0.21),,(1.30),,(1.42)
2,-3.23,-2.12,4.31,4.23,-11.09,-12.72,10.78,9.05
,,(0.33),,(0.26),,(1.68),,(1.56)
3,0.70,0.57,3.17,3.71,-9.24,-9.27,10.57,10.15
,,(0.29),,(0.23),,(1.46),,(1.41)
4,-2.37,-2.46,3.48,4.23,-11.89,-12.64,7.36,9.10
,,(0.33),,(0.26),,(1.44),,(1.57)
5,-0.28,0.62,2.25,3.56,-6.39,-8.44,5.68,10.14
,,(0.28),,(0.22),,(1.35),,(1.41)
6,2.97,2.02,4.42,4.04,-8.95,-8.49,10.74,12.16
,,(0.31),,(0.24),,(1.43),,(1.47)
7,-2.20,-2.49,4.73,3.69,-9.81,-11.60,11.52,7.45
,,(0.29),,(0.23),,(1.31),,(1.36)
8,-1.37,-2.41,4.59,3.94,-8.85,-12.11,9.11,8.45
,,(0.31),,(0.24),,(1.38),,(1.61)
9,2.74,3.13,5.91,4.50,-12.61,-9.09,10.54,13.60
,,(0.35),,(0.26),,(1.68),,(1.33)
10,-0.47,-0.03,3.81,4.94,-11.91,-12.51,8.56,12.80
,,(0.39),,(0.30),,(1.73),,(1.83)
11,0.04,0.27,2.14,3.67,-6.91,-9.10,5.28,9.61
,,(0.29),,(0.22),,(1.22),,(1.26)
12,0.50,1.29,5.66,5.53,-13.04,-12.20,9.11,12.94
,,(0.43),,(0.28),,(1.44),,(1.21)
total,-1.43,-0.14,10.44,14.37,-30.35,-35.64,28.68,35.29
,,(1.13),,(0.80),,(4.41),,(4.40)
